county,year,month,value
Nairobi County,2020,8,4491
Nakuru County,2020,8,4159
Nandi County,2020,8,4521
Narok County,2020,8,4419
Nyamira County,2020,8,1747
Nyandarua County,2020,8,73
Nyeri County,2020,8,29
Samburu County,2020,8,863
Siaya County,2020,8,50124
Taita Taveta County,2020,8,158
Tana River County,2020,8,1205
Tharaka Nithi County,2020,8,787
Trans Nzoia County,2020,8,9074
Turkana County,2020,8,38057
Uasin Gishu County,2020,8,2107
Vihiga County,2020,8,18845
Wajir County,2020,8,271
West Pokot County,2020,8,11735
Baringo County,2020,9,7247
Bomet County,2020,9,575
Bungoma County,2020,9,51624
Busia County,2020,9,45470
Elgeyo Marakwet County,2020,9,1732
Embu County,2020,9,289
Garissa County,2020,9,506
Homa Bay County,2020,9,19309
Isiolo County,2020,9,422
Kajiado County,2020,9,1095
Kakamega County,2020,9,90543
Kericho County,2020,9,2939
Kiambu County,2020,9,845
Kilifi County,2020,9,28236
Kirinyaga County,2020,9,121
Kisii County,2020,9,15961
Kisumu County,2020,9,44671
Kitui County,2020,9,479
Kwale County,2020,9,26605
